科目,,,,,"依照募款企畫書
預估值",,"依照目前人力評估
預估值",,"依造2020
募款實際金額",,備註
款,項,項目,名稱,備註(原價),單位,金額,單位,金額,單位,金額,
1,,,級別,,,"4,020,000",,"2,880,000",,"2,000,000",
,1,,白金級總額,"800,000",2,"1,600,000",2,"1,600,000",,0,
,,1,競業排他條款,"300,000",,,,,,,
,,2,企業LOGO露出 ( 隨主辦單位LOGO同步露出 ),"300,000",,,,,,,
,,3,臺灣同志遊行主視覺使用權( 使用權至遊行結束而停止 ),"200,000",,,,,,,
,,4,行前記者會宣布友善企業及發言,"100,000",,,,,,,
,,5,行前記者會會後媒體採訪,"100,000",,,,,,,
,,6,官方新聞稿適當置入3次,"240,000",,,,,,,
,,7,官方網站滾動式廣告欄位A,"80,000",,,,,,,
,,8,官方臉書粉絲頁軟文置入合作2次,"50,000",,,,,,,
,,9,官方IG粉絲頁軟文置入合作2次,"16,000",,,,,,,
,,10,線上遊行 主舞台與三個副頻道 輪播廣告各15秒總計60秒,"100,000",,,,,,,
,,11,遊行燈箱車 車權1輛 繞行路線優先選擇權,"200,000",,,,,,,
,,12,線上遊行致詞,"150,000",,,,,,,
,,13,線上遊行 線上市集 5個點位,"25,000",,,,,,,
,,14,主頻道台贊助商LOGO圖卡、固定Bar、跑馬燈、CG圖卡,"80,000",,,,,,,
,2,,黃金級總額,"500,000",1,"500,000",0,0,,"560,000",
,,1,有條件限制競業排他,"150,000",,,,,,,
,,2,企業LOGO露出 ( 隨主辦單位LOGO同步露出 ),"300,000",,,,,,,
,,3,臺灣同志遊行主視覺使用權 ( 使用權至遊行結束而停止 ),"200,000",,,,,,,
,,4,官方新聞稿適當置入2次,"160,000",,,,,,,
,,5,官方網站滾動式廣告欄位B,"50,000",,,,,,,
,,6,官方臉書粉絲頁軟文置入合作1次,"25,000",,,,,,,
,,7,官方IG粉絲頁軟文置入合作2次,"16,000",,,,,,,
,,8,線上遊行 線上市集 3個點位,"15,000",,,,,,,
,,9,遊行燈箱車 車權1/2輛,"100,000",,,,,,,
,3,,銀級,"160,000",12,"1,920,000",8,"1,280,000",,"1,440,000",
,,1,企業LOGO露出 ( 隨主辦單位LOGO同步露出 ),"300,000",,,,,,,
,,2,臺灣同志遊行主視覺使用權 ( 使用權至遊行結束而停止 ),"200,000",,,,,,,
,,3,官方新聞稿適當置入1次,"80,000",,,,,,,
,,4,官方網站首頁廣告欄位 C 或 D,"25,000",,,,,,,
,,5,官方臉書粉絲頁軟文置入合作1次,"25,000",,,,,,,
,,6,官方IG粉絲頁軟文置入合作2次,"16,000",,,,,,,
,,7,線上遊行 線上市集 1個點位,"5,000",,,,,,,
,,8,遊行燈箱車 動態廣告播放15秒120次,"60,000",,,,,,,
2,,, 招商品項,,,"1,932,000",,"575,000",,"1,675,350",
,1,,線上招商廣告,,,"1,812,000",,"455,000",,,
,,1,官方網站滾動式廣告欄位 A,"80,000",3,"240,000",1,"80,000",,,
,,2,官方網站滾動式廣告欄位 B,"50,000",6,"300,000",,0,,,
,,3,官方網站滾動式廣告欄位 C,"25,000",9,"225,000",,0,,,
,,4,官方網站次頁廣告欄位 D,"25,000",10,"250,000",,0,,,
,,5,友善飯店聯名方案,"60,000",2,"120,000",,0,,,
,,6,官方網站友善飯店推薦欄位 A,"3,000",5,"15,000",,0,,,
,,7,官方網站友善飯店推薦欄位 B,0,20,0,,0,,,
,,8,官方臉書粉絲頁軟文置入合作,"25,000",2,"50,000",,0,,,
,,9,官方臉書粉絲頁滾動式橫幅,"20,000",4,"80,000",,0,,,
,,10,官方IG粉絲頁軟文置入合作,"8,000",4,"32,000",,0,,,
,,11,彩虹線上市集,5000,100,"500,000",75,"375,000",,,
,2,,線下招商品項,,,"120,000",,"120,000",,,
,,8,品牌形象打造空地使用權,"120,000",1,"120,000",1,"120,000",,,
4,,,物資類贊助方案,,,0,,0,,,
,1,,志工餐飲類,,,,,,,,
,2,,工作人員服裝及配件類,,,,,,,"71,250",
,3,,行前記者會場地,,,,,,,,
,,,,,,,,,,,
,,,支出,,,,,,,,
,,,燈箱車 ,,3,"200,000",1,"500,000",,,
,,,廠商感恩會,,1,"50,000",1,"50,000",,,
