,價值,級別,比較數量,評估數量,實際數量,個別廠商業務統計,,,,,,,,,Ｖ,Ｖ,,,,,,,,,,Ｖ,,Ｖ,,,Ｖ,,,,,,,,,,,,,,,,,,,,,,
廠商屬性,,,,,,白金級,白金級,黃金級,黃金級,白銀級,白銀級,白銀級,白銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,銀級,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,單買,其他,其他,其他,其他,其他,其他
品項,"P 1,000,000
G 700,000
X 300,000
S 150,000","白金 P
黃金 G
白銀 X
銀 S",可用數量,最大釋出,實際數量,Gilead,FiftyPercent,DIKE,Model TV,LesPark,lululemon,杜蕾斯,美光,AZ,Google,GSK,GSTAR,Pinkoi,UT麗舍,Yahoo,台北市觀傳局,百健,海峰電腦,高通,高誠公關,樂天,磊山保經,聯合利華,GAP,Lab Series,MAC,Nike,TaskUs,Uber,ZIMA,七彩翼國際,台北市民政局,永準貿易,同窗會,辻利茶舖,波士頓,相模,彩虹平權大平台,彩虹酷兒,麥肯錫,無心戒酒,澤豐,Part.T,TAIWANIZE,可口可樂,合橋國際,臺虎精釀,緹威國際
業務組長,,,,,,美克,美克,,美克,,,美克,,鄧霆,美克,,鄧霆,,,美克,,,,,,美克,,,,,,,,美克,,,,,,,,,,,,,,,,,,,
業務窗口,,,,,,Kira,Ray,Linus,樂樂,馬尾,Liwen,樂樂,Alonso,Ray,Taco,Alonso,Ray,Kira,馬尾,Taco,美克,Liwen,盛,Alonso,泩閎,Alonso,Ray,Kira,Ray,美克,Kira,泩閎,泩閎,Kira,Liwen,Alonso,美克,馬尾,Ray,Ray,Alonso,Linus,美克,盛,泩閎,美克,Linus,盛,美克,美克,美克,Ray,盛
競業排他條款  ,"330,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有條件競業排他條款  ,"180,000",G,1,3,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
起走儀式參與權,"80,000","P,G",1,5,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主視覺使用權,"220,000","P,G,X",0,10,10,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
新聞稿適當置入乙次,"300,000","P,G,X,S",-7,25,32,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,,1
企業LOGO露出權,"330,000","P,G,X,S",-30,18,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
行前記者會之友善企業發言權,"110,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行前記者會之會後媒體採訪權,"150,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
活動當日媒體受訪權,"200,000","P,G",1,5,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
活動當日舞台致詞權,"200,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主舞台背板兩側之主廣告版位,"200,000",P,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉播LED大螢幕之橫幅帆布廣告版位,"150,000","P,G",0,4,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉播LED大螢幕之輪播廣告版位,"10,000","P,G,X",15,36,21,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,1,,,,1,,1,,,1,,,1,,,,,,,,,,,1,,1,,1,,
現場活動資訊看板之廣告欄位,"30,000","P,G,X",-5,16,21,1,1,1,1,1,1,1,1,,,,,,,2,,1,1,1,,,,1,,1,,,,1,,,,1,,,1,,,,,,,,1,,,,2
